postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2131,Rozelle,5,2651125.68547305,77.6599046269198
2132,Earlwood,5,2046051.93637149,84.0153609958367
2132,Rozelle,5,1443035.93082029,59.2542068471805
2133,Lidcombe,5,594780.170361052,23.3220091344943
2133,Earlwood,5,2550295.58959115,100
2134,Lidcombe,5,551336.081779814,22.5441097341521
2134,Earlwood,5,878923.401075987,35.9391417623281
2134,Rozelle,5,59604.6575473932,2.43723199845214
2135,Lidcombe,5,6487087.68379036,99.2192804419127
2136,Lidcombe,5,3129484.43236313,90.3565427832287
2136,Earlwood,5,1019655.52218282,29.4401681189052
2137,Lidcombe,5,1175726.58435005,15.9854694780924
2137,Rozelle,5,1267941.34112803,17.2392441222365
2138,Lidcombe,5,187793.707852183,5.53954737545943
2140,Lidcombe,5,3282484.25328422,100
2141,Lidcombe,5,11947911.1424255,100
2142,Lidcombe,5,2132237.68471684,19.3794453483321
2142,Parramatta North ,5,7734342.97571597,70.295763965474
2143,Lidcombe,5,4310405.96177125,100
2144,Lidcombe,5,7832999.01873136,91.4669392785688
2144,Parramatta North ,5,369987.744686384,4.32039458911169
2145,Parramatta North ,5,14731037.1979869,55.8661275098691
2145,Prospect ,5,15216221.0199165,57.7061433144146
2146,Parramatta North ,5,4178304.32089221,69.5509362964319
2146,Prospect ,5,5097347.12520041,84.8490770317826
2147,Parramatta North ,5,878281.562603332,5.49026030226869
2147,Prospect ,5,12444821.1408669,77.7943092372466
2148,Prospect ,5,34156608.9702743,87.8462846289577
2150,Parramatta North ,5,5847244.2100146,100
2151,Parramatta North ,5,10733641.8632211,100
2152,Parramatta North ,5,4285202.53681666,100
2153,Parramatta North ,5,11019508.9520118,44.8993877804861
2153,Prospect ,5,69884.0065444242,0.284744912242145
2155,Rouse Hill,5,23951920.5295242,68.083382116932
2156,Rouse Hill,5,3639530.42335392,5.78113423788199
2160,Parramatta North ,5,6118612.1883916,72.8624433155491
2161,Lidcombe,5,1364380.85557926,12.1475811656284
2162,Lidcombe,5,5115846.53981519,88.3555709936181
2163,Lidcombe,5,108342.484545462,1.70538525215396
2164,Prospect ,5,2918508.39794617,14.2255764857765
2166,Liverpool,5,5646687.61932153,37.015856448277
2167,Liverpool,5,4353814.58487737,62.2450099370036
2168,Liverpool,5,10937629.6744856,84.9983599170225
2170,Liverpool,5,46348312.2237612,85.3255458436163
2171,Liverpool,5,1334051.76002208,6.19537537759102
2173,Campbelltown West,5,751123.793695794,0.389449766803619
2173,Liverpool,5,5630978.14475289,2.91960279218428
2174,Liverpool,5,953498.980132612,15.7439196085827
2175,Prospect ,5,95958.2766287681,0.436804644970158
